Date,Open,High,Low,Close
03-Jun-13,1631.71,1640.42,1622.72,1640.42
04-Jun-13,1640.73,1646.53,1623.62,1631.38
05-Jun-13,1629.05,1629.31,1607.09,1608.9
06-Jun-13,1609.29,1622.56,1598.23,1622.56
07-Jun-13,1625.27,1644.4,1625.27,1643.38
10-Jun-13,1644.67,1648.69,1639.26,1642.81
11-Jun-13,1638.64,1640.13,1622.92,1626.13
12-Jun-13,1629.94,1637.71,1610.92,1612.52
13-Jun-13,1612.15,1639.25,1608.07,1636.36
14-Jun-13,1635.52,1640.8,1623.96,1626.73
17-Jun-13,1630.64,1646.5,1630.34,1639.04
18-Jun-13,1639.77,1654.19,1639.77,1651.81
19-Jun-13,1651.83,1652.45,1628.91,1628.93
20-Jun-13,1624.62,1624.62,1584.32,1588.19
21-Jun-13,1588.62,1599.19,1577.7,1592.43
24-Jun-13,1588.77,1588.77,1560.33,1573.09
25-Jun-13,1577.52,1593.79,1577.09,1588.03
26-Jun-13,1592.27,1606.83,1592.27,1603.26
27-Jun-13,1606.44,1620.07,1606.44,1613.2
28-Jun-13,1611.12,1615.94,1601.06,1606.28
01-Jul-13,1609.78,1626.61,1609.78,1614.96
02-Jul-13,1614.29,1624.26,1606.77,1614.08
03-Jul-13,1611.48,1618.97,1604.57,1615.41
05-Jul-13,1618.65,1632.07,1614.71,1631.89
08-Jul-13,1634.2,1644.68,1634.2,1640.46
09-Jul-13,1642.89,1654.18,1642.89,1652.32
10-Jul-13,1651.56,1657.92,1647.66,1652.62
11-Jul-13,1657.41,1676.63,1657.41,1675.02
12-Jul-13,1675.26,1680.19,1672.33,1680.19
15-Jul-13,1679.59,1684.51,1677.89,1682.5
16-Jul-13,1682.7,1683.73,1671.84,1676.26
17-Jul-13,1677.91,1684.75,1677.91,1680.91
18-Jul-13,1681.05,1693.12,1681.05,1689.37
19-Jul-13,1686.15,1692.09,1684.08,1692.09
22-Jul-13,1694.41,1697.61,1690.67,1695.53
23-Jul-13,1696.63,1698.78,1691.13,1692.39
24-Jul-13,1696.06,1698.38,1682.57,1685.94
25-Jul-13,1685.21,1690.94,1680.07,1690.25
26-Jul-13,1687.31,1691.85,1676.03,1691.65
29-Jul-13,1690.32,1690.92,1681.86,1685.33
30-Jul-13,1687.92,1693.19,1682.42,1685.96
31-Jul-13,1687.76,1698.43,1684.94,1685.73
01-Aug-13,1689.42,1707.85,1689.42,1706.87
02-Aug-13,1706.1,1709.67,1700.68,1709.67
05-Aug-13,1708.01,1709.24,1703.55,1707.14
06-Aug-13,1705.79,1705.79,1693.29,1697.37
07-Aug-13,1695.3,1695.3,1684.91,1690.91
08-Aug-13,1693.35,1700.18,1688.38,1697.48
09-Aug-13,1696.1,1699.42,1686.02,1691.42
12-Aug-13,1688.37,1691.49,1683.35,1689.47
13-Aug-13,1690.65,1696.81,1682.62,1694.16
14-Aug-13,1693.88,1695.52,1684.83,1685.39
15-Aug-13,1679.61,1679.61,1658.59,1661.32
16-Aug-13,1661.22,1663.6,1652.61,1655.83
19-Aug-13,1655.25,1659.18,1645.84,1646.06
20-Aug-13,1646.81,1658.92,1646.08,1652.35
21-Aug-13,1650.66,1656.99,1639.43,1642.8
22-Aug-13,1645.03,1659.55,1645.03,1656.96
23-Aug-13,1659.92,1664.85,1654.81,1663.5
26-Aug-13,1664.29,1669.51,1656.02,1656.78
27-Aug-13,1652.54,1652.54,1629.05,1630.48
28-Aug-13,1630.25,1641.18,1627.47,1634.96
29-Aug-13,1633.5,1646.41,1630.88,1638.17
30-Aug-13,1638.89,1640.08,1628.05,1632.97
03-Sep-13,1635.95,1651.35,1633.41,1639.77
04-Sep-13,1640.72,1655.72,1637.41,1653.08
05-Sep-13,1653.28,1659.17,1653.07,1655.08
06-Sep-13,1657.44,1664.83,1640.62,1655.17
09-Sep-13,1656.85,1672.4,1656.85,1671.71
10-Sep-13,1674.32,1684.09,1674.32,1683.99
11-Sep-13,1681.04,1689.13,1678.7,1689.13
12-Sep-13,1689.21,1689.97,1681.96,1683.42
13-Sep-13,1685.04,1688.73,1682.22,1687.99
16-Sep-13,1691.7,1704.95,1691.7,1697.6
17-Sep-13,1697.73,1705.52,1697.73,1704.76
18-Sep-13,1705.74,1729.44,1700.35,1725.52
19-Sep-13,1727.34,1729.86,1720.2,1722.34
20-Sep-13,1722.44,1725.23,1708.89,1709.91
23-Sep-13,1711.44,1711.44,1697.1,1701.84
24-Sep-13,1702.6,1707.63,1694.9,1697.42
25-Sep-13,1698.02,1701.71,1691.88,1692.77
26-Sep-13,1694.05,1703.85,1693.11,1698.67
27-Sep-13,1695.52,1695.52,1687.11,1691.75
30-Sep-13,1687.26,1687.26,1674.99,1681.55
